rank,KTP,KSL,TREND,RSI,split,trades,PF,return%,maxDD%,chunk_csv,equity_csv
1,0.8,1.6,200,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
2,0.8,1.6,250,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
3,0.8,1.6,250,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
4,0.8,2,100,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
5,0.8,2,150,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
6,0.8,2,150,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
7,0.8,1.6,150,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
8,0.8,1.8,50,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
9,0.8,1.8,50,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
10,0.8,1.6,100,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
11,0.8,1.6,100,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
12,0.8,1.6,150,52/48,10,6,10.87,0.20,0.00,wf_chunk_10.csv,wf_equity_10.csv
