"pf","ret","KTP","KSL","TREND","RSI","split","trades","maxDD%"
"4.23","0.02","1.0","2.0","50","52/48","","49","0.00"
"4.23","0.02","1.0","2.0","50","52/48","","49","0.00"
"4.23","0.02","1.0","2.0","200","52/48","","49","0.00"
"4.23","0.02","1.0","2.0","200","52/48","","49","0.00"
"4.23","0.02","1.0","2.0","250","52/48","","49","0.00"
"4.23","0.02","1.0","2.0","250","52/48","","49","0.00"
"4.23","0.02","1.0","2.0","100","52/48","","49","0.00"
"4.23","0.02","1.0","2.0","100","52/48","","49","0.00"
"4.23","0.02","1.0","2.0","150","52/48","","49","0.00"
"4.23","0.02","1.0","2.0","150","52/48","","49","0.00"
"4.23","0.01","1.0","1.4","50","52/48","","49","0.03"
"4.23","0.01","1.0","1.4","50","52/48","","49","0.03"
"4.23","0.01","1.0","1.4","200","52/48","","49","0.03"
"4.23","0.01","1.0","1.4","200","52/48","","49","0.03"
"4.23","0.01","1.0","1.4","250","52/48","","49","0.03"
"4.23","0.01","1.0","1.4","250","52/48","","49","0.03"
"4.23","0.01","1.0","1.4","100","52/48","","49","0.03"
"4.23","0.01","1.0","1.4","100","52/48","","49","0.03"
"4.23","0.01","1.0","1.4","150","52/48","","49","0.03"
"4.23","0.01","1.0","1.4","150","52/48","","49","0.03"
"4.23","-0.05","1.0","1.2","50","52/48","","49","0.09"
"4.23","-0.05","1.0","1.2","50","52/48","","49","0.09"
"4.23","-0.05","1.0","1.2","200","52/48","","49","0.09"
"4.23","-0.05","1.0","1.2","200","52/48","","49","0.09"
"4.23","-0.05","1.0","1.2","250","52/48","","49","0.09"
"4.23","-0.05","1.0","1.2","250","52/48","","49","0.09"
"4.23","-0.05","1.0","1.2","100","52/48","","49","0.09"
"4.23","-0.05","1.0","1.2","100","52/48","","49","0.09"
"4.23","-0.05","1.0","1.2","150","52/48","","49","0.09"
"4.23","-0.05","1.0","1.2","150","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","50","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","50","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","200","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","200","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","250","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","250","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","100","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","100","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","150","52/48","","49","0.09"
"4.23","-0.05","1.0","1.3","150","52/48","","49","0.09"
"3.8","0.04","0.9","1.6","50","52/48","","49","0.00"
"3.8","0.04","0.9","1.6","50","52/48","","49","0.00"
"3.8","0.04","0.9","1.6","200","52/48","","49","0.00"
"3.8","0.04","0.9","1.6","200","52/48","","49","0.00"
"3.8","0.04","0.9","1.6","250","52/48","","49","0.00"
"3.8","0.04","0.9","1.6","250","52/48","","49","0.00"
"3.8","0.04","0.9","1.6","100","52/48","","49","0.00"
"3.8","0.04","0.9","1.6","100","52/48","","49","0.00"
"3.8","0.04","0.9","1.6","150","52/48","","49","0.00"
"3.8","0.04","0.9","1.6","150","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","50","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","50","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","200","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","200","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","250","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","250","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","100","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","100","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","150","52/48","","49","0.00"
"3.8","0.02","0.9","1.8","150","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","50","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","50","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","200","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","200","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","250","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","250","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","100","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","100","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","150","52/48","","49","0.00"
"3.8","0.02","0.9","2.0","150","52/48","","49","0.00"
"3.8","0.01","0.9","1.4","50","52/48","","49","0.03"
"3.8","0.01","0.9","1.4","50","52/48","","49","0.03"
"3.8","0.01","0.9","1.4","200","52/48","","49","0.03"
"3.8","0.01","0.9","1.4","200","52/48","","49","0.03"
"3.8","0.01","0.9","1.4","250","52/48","","49","0.03"
"3.8","0.01","0.9","1.4","250","52/48","","49","0.03"
"3.8","0.01","0.9","1.4","100","52/48","","49","0.03"
"3.8","0.01","0.9","1.4","100","52/48","","49","0.03"
"3.8","0.01","0.9","1.4","150","52/48","","49","0.03"
"3.8","0.01","0.9","1.4","150","52/48","","49","0.03"
"3.8","-0.05","0.9","1.2","50","52/48","","49","0.09"
"3.8","-0.05","0.9","1.2","50","52/48","","49","0.09"
"3.8","-0.05","0.9","1.2","200","52/48","","49","0.09"
"3.8","-0.05","0.9","1.2","200","52/48","","49","0.09"
"3.8","-0.05","0.9","1.2","250","52/48","","49","0.09"
"3.8","-0.05","0.9","1.2","250","52/48","","49","0.09"
"3.8","-0.05","0.9","1.2","100","52/48","","49","0.09"
"3.8","-0.05","0.9","1.2","100","52/48","","49","0.09"
"3.8","-0.05","0.9","1.2","150","52/48","","49","0.09"
"3.8","-0.05","0.9","1.2","150","52/48","","49","0.09"
"3.8","-0.05","0.9","1.3","50","52/48","","49","0.09"
"3.8","-0.05","0.9","1.3","50","52/48","","49","0.09"
"3.8","-0.05","0.9","1.3","200","52/48","","49","0.09"
"3.8","-0.05","0.9","1.3","200","52/48","","49","0.09"
"3.8","-0.05","0.9","1.3","250","52/48","","49","0.09"
"3.8","-0.05","0.9","1.3","250","52/48","","49","0.09"
"3.8","-0.05","0.9","1.3","100","52/48","","49","0.09"
