"pf","ret","KTP","KSL","TREND","RSI","split","trades","maxDD%"
"3.8","-0.05","0.9","1.3","100","52/48","","49","0.09"
"3.8","-0.05","0.9","1.3","150","52/48","","49","0.09"
"3.8","-0.05","0.9","1.3","150","52/48","","49","0.09"
"3.45","0.02","1.2","1.6","50","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","50","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","200","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","200","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","250","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","250","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","100","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","100","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","150","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","150","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","50","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","50","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","200","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","200","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","250","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","250","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","100","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","100","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","150","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","150","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","50","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","50","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","200","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","200","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","250","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","250","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","100","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","100","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","150","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","150","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","50","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","50","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","200","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","200","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","250","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","250","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","100","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","100","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","150","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","150","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","50","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","50","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","200","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","200","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","250","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","250","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","100","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","100","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","150","52/48","","49","0.00"
"3.45","0.02","1.2","1.8","150","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","50","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","50","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","200","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","200","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","250","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","250","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","100","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","100","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","150","52/48","","49","0.00"
"3.45","0.02","1.2","2.0","150","52/48","","49","0.00"
"3.45","0.02","1.2","1.6","20","52/48","","32","0.00"
"3.45","0.02","1.2","1.6","20","52/48","","32","0.00"
"3.45","0.02","1.2","1.8","20","52/48","","32","0.00"
"3.45","0.02","1.2","1.8","20","52/48","","32","0.00"
"3.45","0.02","1.2","2.0","20","52/48","","32","0.00"
"3.45","0.02","1.2","2.0","20","52/48","","32","0.00"
"3.45","0.02","1.2","1.6","20","52/48","","32","0.00"
"3.45","0.02","1.2","1.6","20","52/48","","32","0.00"
"3.45","0.02","1.2","1.8","20","52/48","","32","0.00"
"3.45","0.02","1.2","1.8","20","52/48","","32","0.00"
"3.45","0.02","1.2","2.0","20","52/48","","32","0.00"
"3.45","0.02","1.2","2.0","20","52/48","","32","0.00"
"3.45","-0.01","1.2","1.4","50","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","50","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","200","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","200","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","250","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","250","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","100","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","100","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","150","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","150","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","50","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","50","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","200","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","200","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","250","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","250","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","100","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","100","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","150","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","150","52/48","","49","0.03"
"3.45","-0.01","1.2","1.4","20","52/48","","32","0.03"
"3.45","-0.01","1.2","1.4","20","52/48","","32","0.03"
"3.45","-0.01","1.2","1.4","20","52/48","","32","0.03"
"3.45","-0.01","1.2","1.4","20","52/48","","32","0.03"
"3.45","-0.03","1.2","1.2","20","52/48","","32","0.06"
"3.45","-0.03","1.2","1.2","20","52/48","","32","0.06"
"3.45","-0.03","1.2","1.3","20","52/48","","32","0.06"
"3.45","-0.03","1.2","1.3","20","52/48","","32","0.06"
"3.45","-0.03","1.2","1.2","20","52/48","","32","0.06"
"3.45","-0.03","1.2","1.2","20","52/48","","32","0.06"
"3.45","-0.03","1.2","1.3","20","52/48","","32","0.06"
"3.45","-0.03","1.2","1.3","20","52/48","","32","0.06"
"3.45","-0.06","1.2","1.2","50","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","50","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","200","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","200","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","250","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","250","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","100","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","100","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","150","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","150","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","50","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","50","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","200","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","200","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","250","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","250","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","100","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","100","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","150","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","150","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","50","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","50","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","200","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","200","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","250","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","250","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","100","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","100","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","150","52/48","","49","0.09"
"3.45","-0.06","1.2","1.2","150","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","50","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","50","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","200","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","200","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","250","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","250","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","100","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","100","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","150","52/48","","49","0.09"
"3.45","-0.06","1.2","1.3","150","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","50","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","50","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","200","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","200","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","250","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","250","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","100","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","100","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","150","52/48","","49","0.09"
"3.44","-0.03","0.8","1.2","150","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","50","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","50","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","200","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","200","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","250","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","250","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","100","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","100","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","150","52/48","","49","0.09"
"3.43","-0.03","0.8","1.3","150","52/48","","49","0.09"
"3.43","0.02","0.8","1.4","50","52/48","","49","0.03"
"3.43","0.02","0.8","1.4","50","52/48","","49","0.03"
"3.43","0.02","0.8","1.4","200","52/48","","49","0.03"
"3.43","0.02","0.8","1.4","200","52/48","","49","0.03"
"3.43","0.02","0.8","1.4","250","52/48","","49","0.03"
"3.43","0.02","0.8","1.4","250","52/48","","49","0.03"
"3.43","0.02","0.8","1.4","100","52/48","","49","0.03"
"3.43","0.02","0.8","1.4","100","52/48","","49","0.03"
"3.43","0.02","0.8","1.4","150","52/48","","49","0.03"
"3.43","0.02","0.8","1.4","150","52/48","","49","0.03"
"3.16","0.02","1.1","1.6","50","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","50","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","200","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","200","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","250","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","250","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","100","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","100","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","150","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","150","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","50","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","50","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","200","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","200","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","250","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","250","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","100","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","100","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","150","52/48","","49","0.00"
"3.16","0.02","1.1","1.8","150","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","50","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","50","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","200","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","200","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","250","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","250","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","100","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","100","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","150","52/48","","49","0.00"
"3.16","0.02","1.1","2.0","150","52/48","","49","0.00"
"3.16","0.02","1.1","1.6","20","52/48","","32","0.00"
"3.16","0.02","1.1","1.6","20","52/48","","32","0.00"
"3.16","0.02","1.1","1.8","20","52/48","","32","0.00"
"3.16","0.02","1.1","1.8","20","52/48","","32","0.00"
"3.16","0.02","1.1","2.0","20","52/48","","32","0.00"
"3.16","0.02","1.1","2.0","20","52/48","","32","0.00"
"3.16","-0.01","1.1","1.4","50","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","50","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","200","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","200","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","250","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","250","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","100","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","100","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","150","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","150","52/48","","49","0.03"
"3.16","-0.01","1.1","1.4","20","52/48","","32","0.03"
"3.16","-0.01","1.1","1.4","20","52/48","","32","0.03"
"3.16","-0.03","1.1","1.2","20","52/48","","32","0.06"
"3.16","-0.03","1.1","1.2","20","52/48","","32","0.06"
"3.16","-0.04","1.1","1.3","20","52/48","","32","0.06"
"3.16","-0.04","1.1","1.3","20","52/48","","32","0.06"
"3.16","-0.06","1.1","1.2","50","52/48","","49","0.09"
"3.16","-0.06","1.1","1.2","50","52/48","","49","0.09"
"3.16","-0.06","1.1","1.2","200","52/48","","49","0.09"
"3.16","-0.06","1.1","1.2","200","52/48","","49","0.09"
"3.16","-0.06","1.1","1.2","250","52/48","","49","0.09"
"3.16","-0.06","1.1","1.2","250","52/48","","49","0.09"
"3.16","-0.06","1.1","1.2","100","52/48","","49","0.09"
"3.16","-0.06","1.1","1.2","100","52/48","","49","0.09"
"3.16","-0.06","1.1","1.2","150","52/48","","49","0.09"
"3.16","-0.06","1.1","1.2","150","52/48","","49","0.09"
"3.16","-0.07","1.1","1.3","50","52/48","","49","0.09"
"3.16","-0.07","1.1","1.3","50","52/48","","49","0.09"
"3.16","-0.07","1.1","1.3","200","52/48","","49","0.09"
"3.16","-0.07","1.1","1.3","200","52/48","","49","0.09"
"3.16","-0.07","1.1","1.3","250","52/48","","49","0.09"
