"pf","ret","KTP","KSL","TREND","RSI","split","trades","maxDD%"
"100000002.87","0.04","1.0","1.8","20","52/48","","32","0.00"
"100000002.87","0.04","1.0","1.8","20","52/48","","32","0.00"
"100000002.87","0.04","1.0","1.6","20","52/48","","32","0.00"
"100000002.87","0.04","1.0","1.6","20","52/48","","32","0.00"
"100000002.87","0.02","1.0","2.0","20","52/48","","32","0.00"
"100000002.87","0.02","1.0","2.0","20","52/48","","32","0.00"
"100000002.87","0.01","1.0","1.4","20","52/48","","32","0.03"
"100000002.87","0.01","1.0","1.4","20","52/48","","32","0.03"
"100000002.58","0.04","0.9","1.6","20","52/48","","32","0.00"
"100000002.58","0.04","0.9","1.6","20","52/48","","32","0.00"
"100000002.58","0.02","0.9","2.0","20","52/48","","32","0.00"
"100000002.58","0.02","0.9","2.0","20","52/48","","32","0.00"
