trade,equity
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
0,10000.0
1,9999.25
2,9998.52
2,9998.52
2,9998.52
3,9997.73
3,9997.73
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
4,9947.01
5,9946.36
5,9946.36
6,9945.69
6,9945.69
7,9945.06
7,9945.06
8,9944.4
8,9944.4
9,9943.77
9,9943.77
10,9943.12
10,9943.12
10,9943.12
10,9943.12
11,9942.49
11,9942.49
11,9942.49
11,9942.49
12,9941.89
12,9941.89
12,9941.89
13,9941.31
